destination,date,duration,t0,t1,t2,depart,arrive,notes
home,12/20/17,65,M,F,,18:00,19:05,
work,12/21/17,71,R,Q,R,8:34,9:45,"Q via N in Brooklyn, Q local 14 to 34"
home,12/26/17,51,6,5,3,16:16,17:07,
work,12/27/17,51,2,5,6,8:35,9:26,
home,12/27/17,56,6,5,2,19:12,20:08,
work,12/28/17,52,R,Q,R,8:37,9:29,Q via N in Brooklyn
home,12/28/17,53,6,4,2,17:47,18:40,
work,12/29/17,56,R,Q,R,8:38,9:34,Q via N in Brooklyn; transferred at 34th; trains noticeably slow in Manhattan
work,1/2/18,52,B,M,,8:15,9:07,
work,1/3/18,59,Q,W,,8:15,9:14,
home,1/3/18,58,6,4,3,18:27,19:25,incident at Jay St
work,1/4/18,54,R,Q,R,8:08,9:02,Q via N in Brooklyn
home,1/4/18,53,6,4,,15:08,16:01,Snow storm
work,1/5/18,65,R,D,M,8:15,9:20,
work,1/8/18,71,Q,W,,8:32,9:43,
home,1/8/18,61,6,5,3,17:44,18:45,
work,1/9/18,59,2,5,6,8:05,9:04,
work,1/10/18,54,2,4,6,8:14,9:08,
work,1/11/18,51,3,4,6,8:21,9:12,
work,1/12/18,58,3,4,6,8:18,9:16,
work,1/16/18,59,3,4,6,8:11,9:10,
work,1/17/18,64,3,4,,8:17,9:21,snow; really crowded; walked from GC
work,1/18/18,60,3,5,,8:04,9:04,gc north to 48th
home,1/18/18,46,6,5,3,19:03,19:49,
work,1/22/18,57,R,N,,8:10,9:07,
work,1/23/18,60,2,5,6,8:10,9:10,
work,1/24/18,59,3,4,6,8:12,9:11,
home,1/24/18,54,R,N,R,19:03,19:57,
work,1/25/18,57,R,D,M,8:30,9:27,
work,1/26/18,53,Q,N,,8:09,9:01,
work,1/30/10,52,R,Q,W,7:53,8:45,
work,1/31/18,56,R,D,M,8:03,8:59,
work,2/7/18,49,R,D,M,8:15,9:04,
home,2/7/18,73,M,B,,18:02,7:15:00 PM,delays
work,2/8/18,53,B,M,,8:35,9:28,
home,2/8/18,53,6,5,3,18:40,19:33,
work,2/9/18,49,B,M,,8:36,9:25,
home,2/9/18,49,M,B,,18:10,18:59,
work,2/12/18,52,3,4,6,8:18,9:10,
home,2/12/18,44,M,B,,17:54,18:38,
work,2/13/18,52,3,4,6,8:21,9:13,
work,2/14/18,58,Q,W,,8:13,9:11,
work,2/15/18,52,B,M,,8:32,9:24,
home,2/15/18,73,M,B,,17:47,19:00,
work,2/16/18,51,B,M,,8:26,9:17,
work,2/20/18,45,3,4,,8:14,8:59,
work,2/21/18,49,B,M,,8:14,9:03,
home,2/21/18,53,6,5,R,18:19,19:12,
work,2/22/18,51,Q,W,,8:11,9:02,
home,2/22/18,56,R,Q,,17:44,18:40,
work,2/23/18,54,Q,W,,7:54,8:48,
